Image	Object type	Name	Classification	Parent	ROI	Atlas_X	Atlas_Y	Atlas_Z	hemisphere	channel	Atlas_AP	Atlas_DV	Atlas_ML	animal
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.5672	4.1586	3.8043	Right	Negative	-6.467829287052854	2.9876937503975833	-1.8957000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.6359	3.974	3.8828	Right	Negative	-6.520178912700539	2.808556108572052	-1.8172000000000001	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.5743	4.1377	4.0075	Right	Negative	-6.473080714385879	2.967467938396899	-1.6925	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.5661	4.1621	3.7381	Right	Negative	-6.46703851798457	2.991073530671691	-1.9619	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker+	IP	Polygon	11.6749	3.8669	4.2001	Right	Positive	-6.549696125877843	2.7046957628183823	-1.4999000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.7408	3.6938	3.8527	Right	Negative	-6.60025869741247	2.5365961605295007	-1.8473000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.6618	3.9026	4.108	Right	Negative	-6.539757435348933	2.7393241003423765	-1.5920000000000005	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.5701	4.1537	3.4998	Right	Negative	-6.470291188537857	2.9828502351041486	-2.2002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.5724	4.1459	3.6576	Right	Negative	-6.471902621550036	2.9753306042206185	-2.0424	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.7308	3.7183	4.0949	Right	Negative	-6.59243206612887	2.5604437347219866	-1.6051000000000002	animalid0
