Name	hemisphere	Area µm^2	Area mm^2	length µm	length mm	density µm^-1	density mm^-1	coverage index	relative count	relative density	channel	animal
DMX	both	811502.0	0.811502	13324.5583	13.324558300000001	0.016419624720579864	16419.624720579865	218.78424685348762	0.0029208970956627876	0.0016213664664451557	marker2	mouse0
DMX	both	811502.0	0.811502	1840.3522	1.8403522	0.0022678344600506224	2267.8344600506225	4.173614137789975	0.00184105032223188	0.0008307101112903708	marker1	mouse0
DMX	Ipsi.	403714.7	0.40371470000000004	966.0041	0.9660041	0.002392789016600089	2392.789016600089	2.311444000470654	0.0010563237883191353	0.0006041006883886542	marker3	mouse0
DMX	Ipsi.	403714.7	0.40371470000000004	1137.1828	1.1371828	0.002816798100242572	2816.798100242572	3.203214350668529	0.0004902880576320492	0.00023734678863426297	marker2	mouse0
DMX	Ipsi.	403714.7	0.40371470000000004	127.45920000000001	0.12745920000000002	0.00031571602421214787	315.71602421214783	0.040240911873261	0.00027041456150335446	0.00011356734042144973	marker1	mouse0
DMX	Contra.	407787.3	0.40778729999999996	9214.8416	9.2148416	0.022597176518248607	22597.17651824861	208.2294022229004	0.012609291461952507	0.009738481719522426	marker3	mouse0
DMX	Contra.	407787.3	0.40778729999999996	12187.3755	12.1873755	0.029886598969609893	29886.598969609895	364.23920406054884	0.005435004118701797	0.0036063934014854485	marker2	mouse0
DMX	Contra.	407787.3	0.40778729999999996	1712.893	1.712893	0.004200456953907098	4200.456953907099	7.194933313148791	0.0032424365622616127	0.0017380732164085637	marker1	mouse0
DN	both	1846796.0	1.846796	495.04290000000003	0.4950429	0.0002680549990361686	268.05499903616857	0.1326987240823621	0.0003008841688976283	8.637383562063662e-05	marker3	mouse0
DN	both	1846796.0	1.846796	204.0846	0.2040846	0.00011050738684727495	110.50738684727494	0.022552855841771368	4.473770176753264e-05	1.0912123411936694e-05	marker2	mouse0
DN	both	1846796.0	1.846796	24.6656	0.024665600000000003	1.3355887710391403e-05	13.355887710391402	0.00032943098390943024	2.4674956689291682e-05	4.892275499699955e-06	marker1	mouse0
DN	Ipsi.	945570.5	0.9455705	333.132	0.333132	0.00035230794530920754	352.3079453092075	0.11736505043674691	0.0003642792574589799	8.89461924179566e-05	marker3	mouse0
DN	Ipsi.	945570.5	0.9455705	167.0767	0.1670767	0.0001766940698763339	176.6940698763339	0.029521462104507276	7.203389878792801e-05	1.4888454395171025e-05	marker2	mouse0
DN	Ipsi.	945570.5	0.9455705	10.6705	0.010670500000000001	1.1284721763210677e-05	11.284721763210676	0.00012041362357433952	2.2638291928095767e-05	4.059267632176708e-06	marker1	mouse0
DN	Contra.	901225.5	0.9012255	161.9109	0.1619109	0.00017965636791235934	179.65636791235934	0.02908832421942122	0.00022155364330593013	7.742472840787934e-05	marker3	mouse0
DN	Contra.	901225.5	0.9012255	37.0079	0.037007899999999996	4.106397344504788e-05	41.06397344504788	0.0015196914228569874	1.650380665833298e-05	4.955158766026946e-06	marker2	mouse0
DN	Contra.	901225.5	0.9012255	13.9951	0.0139951	1.5528965835964474e-05	15.528965835964474	0.0002173294297709064	2.649215329416811e-05	6.425605569629275e-06	marker1	mouse0
DTN	Ipsi.	43683.1	0.043683099999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker3	mouse0
DTN	Ipsi.	43683.1	0.043683099999999996	3.2857	0.0032857	7.521673141329255e-05	75.21673141329256	0.00024713961440465536	1.41660555449979e-06	6.3378520636510975e-06	marker2	mouse0
DTN	Ipsi.	43683.1	0.043683099999999996	540.5543	0.5405543	0.012374449157683407	12374.449157683408	6.689061702317144	0.0011468278006079805	0.004451257371321226	marker1	mouse0
DTN	Contra.	29071.6	0.0290716	1.3221	0.0013221	4.547737310639938e-05	45.47737310639938	6.012563498397062e-05	1.8091189154946963e-06	1.9598933800022222e-05	marker3	mouse0
DTN	Contra.	29071.6	0.0290716	51.4275	0.0514275	0.0017689944825878179	1768.9944825878179	0.09097496375328501	2.2934279354446467e-05	0.00021346323266009765	marker2	mouse0
DTN	Contra.	29071.6	0.0290716	511.5102	0.5115102	0.01759484170117916	17594.841701179157	8.999940997538491	0.0009682679387736128	0.007280427687593044	marker1	mouse0
DTN	both	72754.7	0.07275469999999999	1.3221	0.0013221	1.817202187624992e-05	18.17202187624992	2.4025230122590022e-05	8.035646197522565e-07	5.85546710965103e-06	marker3	mouse0
DTN	both	72754.7	0.07275469999999999	54.7132	0.054713200000000003	0.0007520228933663392	752.0228933663393	0.041145578969331194	1.1993765449952454e-05	7.425898716034623e-05	marker2	mouse0
DTN	both	72754.7	0.07275469999999999	1052.0645	1.0520645	0.014460433484022338	14460.433484022338	15.213308723151219	0.0010524635918786206	0.005296871760450743	marker1	mouse0
ECU	both	1246861.2	1.2468612	10286.9833	10.2869833	0.008250303482055582	8250.303482055582	84.87073413983761	0.006252368068877023	0.002658448301064076	marker3	mouse0
ECU	both	1246861.2	1.2468612	15706.0871	15.706087100000001	0.01259649999534832	12596.49999534832	197.84172608209033	0.003442955718435843	0.0012438495419104232	marker2	mouse0
ECU	both	1246861.2	1.2468612	1678.7711	1.6787710999999998	0.0013463977385774777	1346.3977385774776	2.2602936126292246	0.0016794079277915213	0.0004931868859730765	marker1	mouse0
ECU	Contra.	617008.4	0.6170084	2586.4839	2.5864839	0.004191975182185526	4191.975182185526	10.842476317922431	0.0035392609848820004	0.0018065740933358632	marker3	mouse0
ECU	Contra.	617008.4	0.6170084	4813.3706999999995	4.813370699999999	0.007801142901782211	7801.142901782211	37.54979266995147	0.0021465400470625155	0.000941358041898323	marker2	mouse0
ECU	Contra.	617008.4	0.6170084	616.7647999999999	0.6167647999999999	0.0009996051917607602	999.6051917607604	0.6165212961752868	0.0011675106021426737	0.00041361857289509306	marker1	mouse0
ECU	Ipsi.	629852.8	0.6298528000000001	7700.499400000001	7.700499400000001	0.012225871505215187	12225.871505215186	94.14531619038665	0.008420482581965469	0.0030866312663646368	marker3	mouse0
ECU	Ipsi.	629852.8	0.6298528000000001	10892.716400000001	10.892716400000001	0.017294066804180278	17294.06680418028	188.37936510059015	0.004696315109666421	0.0014572188251778214	marker2	mouse0
ECU	Ipsi.	629852.8	0.6298528000000001	1062.0063	1.0620063	0.0016861182485812557	1686.1182485812556	1.7906682025382599	0.002253128592744187	0.0006065196266337568	marker1	mouse0
FN	Ipsi.	1687932.6	1.6879326000000001	154.9023	0.1549023	9.177042969606725e-05	91.77042969606724	0.014215450631909116	0.00016938539324558476	2.3169021325536438e-05	marker3	mouse0
FN	Ipsi.	1687932.6	1.6879326000000001	3057.0069	3.0570068999999997	0.001811095360087245	1811.095360087245	5.5365310123446925	0.0013180061949308165	0.00015260506870907927	marker2	mouse0
FN	Ipsi.	1687932.6	1.6879326000000001	1107.7233999999999	1.1077233999999998	0.0006562604454703936	656.2604454703936	0.7269550519419791	0.0023501209601033495	0.00023606579235834922	marker1	mouse0
FN	Contra.	1762684.5	1.7626845	38996.0102	38.99601019999999	0.022123079995313964	22123.079995313965	862.7118531526793	0.05336088017672196	0.00953416502897661	marker3	mouse0
FN	Contra.	1762684.5	1.7626845	138283.21039999998	138.28321039999997	0.07845034684312478	78450.34684312477	10848.365818460798	0.0616678970850867	0.009466544302581209	marker2	mouse0
FN	Contra.	1762684.5	1.7626845	20264.5291	20.2645291	0.011496401710005393	11496.401710005392	232.969166997694	0.038359926785184136	0.004757003372846828	marker1	mouse0
FN	both	3450617.1	3.4506171	39150.9125	39.1509125	0.011346061114691629	11346.061114691629	444.20864592094443	0.02379569481583569	0.003655976651007506	marker3	mouse0
FN	both	3450617.1	3.4506171	141340.2173	141.34021729999998	0.040960852277698384	40960.85227769838	5789.4157617230885	0.03098340829893905	0.004044705859618967	marker2	mouse0
FN	both	3450617.1	3.4506171	21372.252500000002	21.372252500000002	0.0061937479241032	6193.7479241032	132.37434455528444	0.02138035988543177	0.0022687762788565356	marker1	mouse0
GR	Contra.	51831.45	0.051831449999999994	3521.7834999999995	3.5217834999999997	0.06794684501398282	67946.84501398282	239.29407764730192	0.0048190947327184895	0.02928237992625019	marker3	mouse0
GR	Contra.	51831.45	0.051831449999999994	3688.5633000000003	3.6885633	0.0711645786486776	71164.5786486776	262.4950530634758	0.0016449281248118017	0.008587376138685248	marker2	mouse0
GR	Contra.	51831.45	0.051831449999999994	92.5701	0.0925701	0.001785983220612196	1785.983220612196	0.16532864533039301	0.0001752314224018743	0.0007390075972124388	marker1	mouse0
GR	both	106459.45	0.10645945	3618.7189	3.6187188999999997	0.033991523533138675	33991.52353313867	123.00576864916368	0.00219943610685183	0.010952895027897504	marker3	mouse0
GR	both	106459.45	0.10645945	3997.0401	3.9970401	0.037545188332271114	37545.188332271115	150.06962332613978	0.000876197361029048	0.003707423913411006	marker2	mouse0
GR	both	106459.45	0.10645945	160.6068	0.1606068	0.0015086194790598674	1508.6194790598674	0.24229454694947228	0.0001606677248477933	0.0005526088775089295	marker1	mouse0
GR	Ipsi.	54628.0	0.054628	96.93539999999999	0.09693539999999999	0.001774463645017207	1774.463645017207	0.17200834321520095	0.0001059986898091123	0.000447993827303117	marker3	mouse0
GR	Ipsi.	54628.0	0.054628	308.4768	0.30847680000000005	0.005646862414878817	5646.862414878817	1.74192604778209	0.00013299751904139785	0.00047581140441538484	marker2	mouse0
GR	Ipsi.	54628.0	0.054628	68.0367	0.06803669999999999	0.001245454711869371	1245.4547118693708	0.08473662859504281	0.00014434512688480137	0.00044800696953957496	marker1	mouse0
GRN	both	14844218.99	14.84421899	72869.8757	72.86987570000001	0.004908973368628537	4908.973368628537	357.7162791865718	0.044289882730704715	0.0015817905293039993	marker3	mouse0
GRN	both	14844218.99	14.84421899	228123.0719	228.1230719	0.015367805611981207	15367.805611981208	3505.7510245672124	0.05000721248421295	0.0015175039080451078	marker2	mouse0
GRN	both	14844218.99	14.84421899	23421.068799999997	23.421068799999997	0.0015777905739451771	1577.7905739451771	36.953541584361474	0.02342995338677837	0.0005779463211991404	marker1	mouse0
GRN	Ipsi.	7471283.62	7.47128362	67448.7173	67.4487173	0.009027728129533919	9027.728129533918	608.908682470191	0.07375505401643989	0.002279205036383088	marker3	mouse0
GRN	Ipsi.	7471283.62	7.47128362	213242.0536	213.24205360000002	0.028541555165857834	28541.555165857833	6086.259836505214	0.09193775377627354	0.0024049456937153724	marker2	mouse0
GRN	Ipsi.	7471283.62	7.47128362	19811.9397	19.8119397	0.0026517450959785676	2651.7450959785674	52.53621394129809	0.042032564040150884	0.0009538687140680154	marker1	mouse0
GRN	Contra.	7372935.37	7.37293537	5421.1584	5.4211584	0.0007352781664217952	735.2781664217952	3.986059408234113	0.0074181379663663585	0.000316875560833013	marker3	mouse0
GRN	Contra.	7372935.37	7.37293537	14881.0183	14.8810183	0.0020183302244245766	2018.3302244245767	30.034809005105235	0.006636243853401974	0.00024355038894806867	marker2	mouse0
GRN	Contra.	7372935.37	7.37293537	3609.1291	3.6091291	0.0004895104756628295	489.5104756628295	1.7667065024695598	0.006831934132349393	0.0002025505930038385	marker1	mouse0
I5	Ipsi.	92881.0	0.092881	125.347	0.125347	0.0013495440402235116	1349.5440402235117	0.16916129680989653	0.00013706672455576394	0.0003407155741914228	marker3	mouse0
I5	Ipsi.	92881.0	0.092881	1017.0094	1.0170094	0.010949595719253668	10949.595719253668	11.135841772680742	0.00043847617403247374	0.0009226260769575667	marker2	mouse0
I5	Ipsi.	92881.0	0.092881	736.3677	0.7363677	0.00792807678642564	7928.076786425641	5.837979668643641	0.0015622610898290094	0.0028518368604768156	marker1	mouse0
I5	Contra.	37421.0	0.037421	3.7394	0.0037394	9.992784799978622e-05	99.92784799978621	0.00037367019481040055	5.116874118902403e-06	4.306491654969632e-05	marker3	mouse0
I5	Contra.	37421.0	0.037421	3.4186	0.0034186	9.135512145586703e-05	91.35512145586702	0.00031230661820902704	1.5245370162094344e-06	1.1023753741446244e-05	marker2	mouse0
I5	Contra.	37421.0	0.037421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker1	mouse0
I5	both	130302.0	0.130302	129.0864	0.1290864	0.0009906709029792328	990.6709029792328	0.12788214045033844	7.845795622962536e-05	0.0003192182426582175	marker3	mouse0
I5	both	130302.0	0.130302	1020.428	1.020428	0.00783125354944667	7831.25354944667	7.991230396954767	0.0002236896048954198	0.0007733021985202851	marker2	mouse0
I5	both	130302.0	0.130302	736.3677	0.7363677	0.005651238660956854	5651.238660956854	4.161389614919878	0.000736647034935024	0.0020700545739423693	marker1	mouse0
ICB	both	385427.60000000003	0.38542760000000004	12652.164699999998	12.652164699999998	0.03282630693806047	32826.30693806047	415.32384187309367	0.0076899114410395744	0.010577433921006742	marker3	mouse0
ICB	both	385427.60000000003	0.38542760000000004	13118.7777	13.1187777	0.03403694416279478	34036.944162794774	446.52310405901727	0.002875787611104208	0.003361000073080398	marker2	mouse0
ICB	both	385427.60000000003	0.38542760000000004	446.01469999999995	0.44601469999999993	0.0011571945029364785	1157.1945029364786	0.5161257590688626	0.000446183891950223	0.0004238815448185356	marker1	mouse0
ICB	Ipsi.	196038.4	0.1960384	12454.578499999998	12.454578499999998	0.06353132090447584	63531.32090447585	791.2558234134854	0.013619059735914216	0.016039573245437026	marker3	mouse0
ICB	Ipsi.	196038.4	0.1960384	12645.641000000001	12.645641000000001	0.0645059386324312	64505.93863243121	815.7189423137561	0.005452075746662897	0.00543534780889263	marker2	mouse0
ICB	Ipsi.	196038.4	0.1960384	348.3094	0.3483094	0.0017767406793771016	1776.7406793771015	0.6188554799894306	0.0007389653604329581	0.0006391177453820644	marker1	mouse0
ICB	Contra.	189389.2	0.1893892	197.5862	0.1975862	0.0010432812430698265	1043.2812430698266	0.20613797634944334	0.00027037057095584155	0.0004496126011916283	marker3	mouse0
ICB	Contra.	189389.2	0.1893892	473.1367	0.4731367	0.002498224291564672	2498.224291564672	1.182001597170747	0.00021099702008926997	0.0003014588448050198	marker2	mouse0
ICB	Contra.	189389.2	0.1893892	97.7053	0.0977053	0.0005158968938038705	515.8968938038705	0.0504058607781753	0.00018495214648360378	0.00021346881622363412	marker1	mouse0
ICd	both	221733.19999999998	0.2217332	20.7934	0.020793399999999997	9.37766649288424e-05	93.77666492884241	0.0019499357045313916	1.2638106470279533e-05	3.0217120630988284e-05	marker3	mouse0
ICd	both	221733.19999999998	0.2217332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker2	mouse0
ICd	both	221733.19999999998	0.2217332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker1	mouse0
ICd	Ipsi.	132574.3	0.13257429999999998	20.7934	0.020793399999999997	0.00015684337009510893	156.84337009510895	0.0032613069317356377	2.2737546414176817e-05	3.959780289291063e-05	marker3	mouse0
ICd	Ipsi.	132574.3	0.13257429999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker2	mouse0
ICd	Ipsi.	132574.3	0.13257429999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker1	mouse0
ICd	Contra.	89158.9	0.0891589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker3	mouse0
ICd	Contra.	89158.9	0.0891589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker2	mouse0
ICd	Contra.	89158.9	0.0891589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker1	mouse0
ICe	Ipsi.	512061.0	0.512061	2.0965	0.0020965	4.094238772333764e-06	4.094238772333765	8.583571586197736e-06	2.2925190713073234e-06	1.0336609051761285e-06	marker3	mouse0
ICe	Ipsi.	512061.0	0.512061	49.6132	0.049613199999999996	9.688923780565206e-05	96.88923780565206	0.004806985133099377	2.1390368778801774e-05	8.164003463511489e-06	marker2	mouse0
ICe	Ipsi.	512061.0	0.512061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker1	mouse0
ICe	Contra.	237726.6	0.2377266	22055.1507	22.0551507	0.09277527504284333	92775.27504284332	2046.1726723038582	0.030179555491608872	0.03998244290824435	marker3	mouse0
ICe	Contra.	237726.6	0.2377266	57057.3233	57.05732329999999	0.2400123642032486	240012.36420324858	13694.4630603421	0.025444919387082147	0.028962111326808364	marker2	mouse0
ICe	Contra.	237726.6	0.2377266	33845.4165	33.8454165	0.1423711797501836	142371.1797501836	4818.61187624133	0.06406799252759657	0.05891062258883852	marker1	mouse0
ICe	both	749787.6	0.7497876	22057.247199999998	22.0572472	0.029417994109265076	29417.994109265073	648.8799681962034	0.013406265380114609	0.00947919269037646	marker3	mouse0
ICe	both	749787.6	0.7497876	57106.936499999996	57.106936499999996	0.07616415168775797	76164.15168775797	4349.501374009162	0.012518500141580619	0.007520878436216287	marker2	mouse0
ICe	both	749787.6	0.7497876	33845.4165	33.8454165	0.04514000564959997	45140.00564959997	1527.7822920230637	0.033858255475988336	0.01653483081652711	marker1	mouse0
IO	both	2481559.9	2.4815598999999997	43715.5321	43.7155321	0.01761615026903038	17616.15026903038	770.0993825642211	0.026570043816053296	0.005676351767647348	marker3	mouse0
IO	both	2481559.9	2.4815598999999997	112148.42719999999	112.14842719999999	0.04519271414725874	45192.71414725875	5068.291812514257	0.02458423070516563	0.004462583797921248	marker2	mouse0
IO	both	2481559.9	2.4815598999999997	11280.9821	11.2809821	0.004545923755457202	4545.923755457203	51.282484513277474	0.011285261446312868	0.0016651765793915566	marker1	mouse0
IO	Contra.	1272908.3	1.2729083	43437.7905	43.437790500000006	0.03412483876489768	34124.83876489768	1482.307597115904	0.0594388688002767	0.014706444330566438	marker3	mouse0
IO	Contra.	1272908.3	1.2729083	109446.3152	109.4463152	0.08598130375927315	85981.30375927314	9410.336872544352	0.048807979526743484	0.010375299204966918	marker2	mouse0
IO	Contra.	1272908.3	1.2729083	10601.356300000001	10.6013563	0.008328452489468409	8328.45248946841	88.29289226847662	0.020067934936205876	0.003446163206746296	marker1	mouse0
IO	Ipsi.	1208651.6	1.2086516	277.7416	0.27774160000000003	0.00022979459093091836	229.7945909309184	0.06382351735649876	0.000303709952251567	5.80155916824647e-05	marker3	mouse0
IO	Ipsi.	1208651.6	1.2086516	2702.112	2.702112	0.0022356417680661654	2235.6417680661657	6.040954449192802	0.0011649958511369075	0.00018837785858398406	marker2	mouse0
